	#	English	#	Spanish	#	Arabic	#	Catalan	#	German	#	French	#	Italian	#	Polish	#	Portuguese	#	Russian	#	Turkish	#	Chinese	#
	Comments		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count
Generic																									
ls_generic_accept		Ok	2	Ok	2	حسنا	4	Ok	2	Ok	2	Ok	2	Ok	2	Ok	2	Ok	2	ОК	2	Ok	2	好	1
ls_generic_cancel		Cancel	6	Cancelar	8	إلغاء	5	Cancel·lar	10	Stornieren	10	Annuler	7	Annulla	7	Anuluj	6	Cancelar	8	Отмена	6	İptal	5	取消	2
ls_generic_quit		Quit	4	Salir	5	استقال	6	Sortir	6	Verlassen	9	Quitter	7	Smettere	8	Porzucić	8	Desistir	8	Уволиться	9	çıkmak	6	放弃	2
ls_generic_yes		Yes	3	Si	2	نعم	3	Si	2	Ja	2	Oui	3	sì	2	tak	3	sim	3	да	2	Evet	4	是	1
ls_generic_no		No	2	No	2	لا	2	No	2	Keine	5	Pas	3	No	2	Nie ma	6	Não	3	нет	3	Hayır	5	无	1
ls_generic_error		Error	5	Error	5	خطأ	3	Error	5	Fehler	6	Erreur	6	errore	6	błąd	4	erro	4	ошибка	6	hata	4	错误	2
ls_generic_app_name		Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5
ls_generic_exit_app_warning		Are you sure you want to exit?	30	Seguro que quiere salir de la aplicación?	41	هل أنت متأكد أنك تريد الخروج من التطبيق ؟	41	Segur Que Vols sortir de l'Aplicació?	37	Sind Sie sicher, um die Anwendung zu beenden?	45	Êtes-vous sûr de vouloir quitter l'application?	47	Sei sicuro di voler chiudere l'applicazione?	44	Czy na pewno chcesz zamknąć aplikację?	38	Tem certeza de que deseja sair do aplicativo?	45	Вы уверены, что хотите выйти из приложения?	43	Eğer uygulamayı çıkmak istediğinizden emin misiniz?	51	你确定要退出应用程序?	11
ls_generic_error_wrong_device		Wrong IP or port	16	Dispositivo ip o puerto equivocado	34	IP خاطئ أو ميناء	16	Dispositiu ip o port equivocat	30	Falsche IP oder Port	20	Mauvais IP ou le port	21	IP errato o la porta	20	Źle IP lub port	15	IP errado ou porta	18	Неправильный IP или порт	24	Yanlış IP veya port	19	错误的IP或端口	8
ls_generic_search_devices		Search for devices	18	Buscar dispositivos	19	البحث عن أجهزة	14	Cercar dispositius	18	Nach Geräten suchen	19	Recherchez des dispositifs	26	Cercare dispositivi	19	Szukać urządzeń	15	Buscar dispositivos	19	Искать устройства	17	Düzenek aramak	14	找寻设备	4
ls_generic_manual_connection		Manual configuration	20	Configuracion manual	20	التكوين اليدوي	14	Configuració manual	19	Die manuelle Konfiguration	26	Configuration manuelle	22	configurazione manuale	22	Ręczna konfiguracja	19	A configuração manual	21	Ручная настройка	16	El ile yapılandırma	19	手动配置	4
ls_generic_version_name		Version	7	Version	7	نسخة	4	Versió	6	Version	7	Version	7	Versione	8	Wersja	6	Versão	6	Версия	6	Versiyon	8	版本	2
ls_generic_connections		Connections	11	Conexiones	10	روابط	5	Connexions	10	Anschlüsse	10	Les liaisons	12	Connessioni	11	Znajomości	10	ligações	8	связи	5	Bağlantılar	11	连接	2
ls_generic_done		Done	4	Completado	10	فعله	4	Completat	9	Erledigt	8	Terminé	7	Fatto	5	Gotowe	6	Feito	5	Готово	6	tamam	5	做	1
ls_generic_loading		Loading	7	Cargando	8	يحمل	4	Carregant	9	Lädt	4	Charge	6	Caricando	9	Ładowanie	9	Carregando	10	Загружается	11	Yükleniyor	10	加载中	3
ls_generic_demo_version		Demo Version	12	Versión Demo	12	النسخة التجريبية	16	Versió Demo	11	Demo Version	12	Demo Version	12	Versione Demo	13	Wersja demo	11	Versão Demo	11	Демо-версии	11	Sürüm demo	10	演示版本	4
ls_generic_biodynamic		Biodynamic	10	Biodinámico	11	الحيوية	7	Biodinámic	10	Biodynamische	13	Biodynamique	12	Biodinámica	11	Biodynamiczne	13	Biodinâmico	11	Biodynamic	10	Biodynamic	10	生物动力	4
ls_generic_sunrise		Sunrise	7	Amanecer	8	شروق الشمس	10	Matí	4	Sonnenaufgang		Aube	4	Alba	4	świt	4	Amanhecer	9	рассвет	7	şafak	5	黎明	2
ls_generic_sunset		Sunset	6	Atardacer	9	غروب الشمس	10	Vespra	6	Sonnenuntergang		Crique	6	Tramonto	8	Zatoczka	8	Enseada	7	закат	5	gün batımı	10	日落	2
																									
Errors																									
ls_error_generic_network		Network error	13	Error de red	12	خطأ في الشبكة	13	Error de xarxa	14	Netzwerkfehler	14	Erreur réseau	13	Errore di rete	14	Błąd sieci	10	Erro de rede	12	Ошибка сети	11	Ağ hatası	9	网络错误	4
ls_error_network_unreachable		Cannot connect to the network. Please check your connection	59	No se puede conectar a la red. Compruebe su conexión	52	لا يمكن الاتصال بالشبكة. يرجى التحقق من اتصالك	46	No es pot connectar a la xarxa. Comprovi la seva connexiò	57	Kann nicht mit dem Netzwerk verbinden. Bitte überprüfen Sie die Verbindung	74	Impossible de se connecter au réseau. S'il vous plaît vérifier votre connexion	78	Non è possibile connettersi alla rete. Controlla la connessione	63	Nie można połączyć się z siecią. Proszę sprawdzić swoje połączenie	66	Não é possível conectar à rede. Por favor, verifique sua conexão	64	Не удается подключиться к сети. Пожалуйста, проверьте подключение	65	ağa bağlanamıyor. bağlantınızı kontrol edin	43	不能连接到网络。请检查连接	13
ls_error_network_device_unavailable		The actual device is not available	34	El dispositivo actual no está disponible	40	الجهاز الفعلي غير متوفر	23	El dispositiu actual no està disponible	39	Das eigentliche Gerät ist nicht verfügbar	41	Le dispositif réel ne sont pas disponibles	42	Il dispositivo reale non è disponibile	38	Rzeczywista urządzenie nie jest dostępny	40	O dispositivo real não está disponível	38	Фактическое устройство недоступно	33	Gerçek cihaz mevcut değildir	28	实际的设备不提供	8
ls_error_refresh_desktop		Device update error	19	Error de actualizar el dispositivo	34	خطأ تحديث الجهاز	16	Error al actualitzar el dispositiiu	35	Geräte-Update-Fehler	20	erreur de mise à jour de l'appareil	35	Errore di Aggiornamento della periferica	40	Błąd Aktualizacja urządzenia	28	erro de atualização do dispositivo	34	Ошибка обновления устройства	28	Aygıt güncelleştirme hatası	27	设备更新错误	6
ls_error_refresh_element_status		Device state update error	25	Error al actualizar el estado del elemento	42	جهاز خطأ تحديث الدولة	21	Error al actualitxar l'estat de l'element	41	Gerätezustand Update-Fehler	27	Dispositif état d'erreur de mise à jour	39	errore di aggiornamento stato del dispositivo	45	Błąd aktualizacji stan urządzenia	33	erro de atualização estado do dispositivo	41	Ошибка обновления состояния устройства	38	Aygıt durumu güncelleme hatası	30	设备状态更新错误	8
ls_error_element_commute		Error during element state change	33	Error al cambiar de estado del elemento	39	خطأ أثناء تغيير حالة العنصر	27	Error al canviar l'estat de l'element	37	Fehler beim Element Zustandsänderung	36	Erreur lors de l'élément de changement d'état	45	Errore durante il cambiamento di stato elemento	47	Błąd podczas zmiany stanu elementu	34	Erro durante a mudança de estado elemento	41	Ошибка при изменении состояния элемента	39	eleman durumu değişikliği sırasında hata	40	元素状态变化过程中的错误	12
ls_error_refresh_element		Error during element update	27	Error de actualizar el elemento	31	خطأ أثناء تحديث العنصر	22	Error al actualitzar l'element	30	Fehler bei der Element-Update	29	Erreur lors de la mise à jour de l'élément	42	Errore durante l'aggiornamento dell'elemento	44	Błąd podczas aktualizacji elementu	34	Erro durante a atualização elemento	35	Ошибка при обновлении элемента	30	eleman güncelleme sırasında hata	32	元素的更新过程中出错	10
ls_error_value_invalid		Please insert a valid value	27	Introduzca un valor válido.	27	الرجاء إدخال قيمة صالحة	23	Introdueixi un valor vàlid.	27	Bitte geben Sie eine gültige Wert	33	S'il vous plaît insérer une valeur valide	41	Si prega di inserire un valore valido	37	Proszę podać poprawną wartość	29	Por favor insira um valor válido	32	Пожалуйста, введите действительное значение	43	geçerli bir değer giriniz	25	请插入一个有效的值	9
ls_error_name_empty		Name is required	16	Se requiere el nombre.	22	مطلوب اسم	9	Es requereix el nom.	20	Name ist erforderlich	21	Le nom est obligatoire	22	Nome è richiesto	16	Imię jest wymagane	18	O nome é obrigatório	20	Имя требуется	13	Adı gereklidir	14	名称是必需的	6
																									
Connection edit																									
ls_connection_edit_remove_confirm		Are you sure you want to delete the connection?	47	¿Está seguro de que quiere eliminar la conexión?	48	هل أنت متأكد أنك تريد حذف الاتصال؟	34	Està segur de que vol eliminar la connexió?	43	Sind Sie sicher, dass Sie die Verbindung zu löschen?	52	Êtes-vous sûr de vouloir supprimer la connexion?	48	Sei sicuro di voler cancellare la connessione?	46	Czy na pewno chcesz usunąć połączenie?	38	Tem certeza de que deseja excluir a conexão?	44	Вы уверены, что хотите удалить соединение?	42	Bağlantıyı silmek istediğinizden emin misiniz?	46	你确定要删除的连接？	10
																									
Element list																									
ls_element_list_refresh_age		Updated	7	Sincronizado hace	17	تزامن قبل	9	Sincronitzat fa	15	Vor synchronisiert	18	Synchronisé il a	16	Sincronizzato	13	Zaktualizowane	14	Sincronizado há	15	Синхронное назад	16	Önce senkronize	15	同步前	3
le_element_list_no_element		No elements	11	Sin elementos	13	لا عناصر	8	Sense elements	14	Keine Elemente	14	Aucun élément	13	Nessun elemento	15	Brak elementów	14	nenhum elemento	15	Нет элементов	13	hiçbir elemanlar	16	没有元素	4
ls_element_list_force_refresh		Update	6	Actualizar	10	تحديث	5	Actualitzar	11	Aktualisieren	13	Mettre à jour	13	Aggiornare	10	Aktualizacja	12	Atualizar	9	Обновить	8	Güncelleştirme	14	更新	2
																									
Refresh																									
ls_refresh_title		UPDATING	8	REFRESCANDO	11	يحدث	4	REFRESCANT	10	LÄDT NEU	8	RAFRAICHISSEMENT	16	Ricaricando	11	ODŚWIEŻANIE	11	ATUALIZANDO	11	Обновляется	11	GÜNCELLENİYOR	13	刷新中	3
																									
Settings																									
ls_settings_title		SETTINGS	8	AJUSTES	7	ضبط	3	AJUSTOS	7	ANPASSUNGEN	11	RÉGLAGES	8	SINTONIZZAZIONI	15	USTAWIENIA	10	AJUSTES	7	НАСТРОЙКИ	9	AYARLAR	7	设置	2
ls_settings_reset_defaults		Reset to default	16	Restablecer por defecto	23	إعادة تعيين الافتراضي	21	Restablir per defecte	21	Reset	5	Réinitialisation par défaut	27	Ripristino default	18	Przywróć domyślne	17	Restaurar padrão	16	По умолчанию Сброс	18	Standart Sıfırlama	18	默认值重置	5
																									
Loading																									
ls_loading_title		SEARCHING\nDEVICES	18	BUSCANDO\nDISPOSITIVOS	22	يبحث عن أجهزة	13	CERCANT\nDISPOSITIUS	20	GERÄTE WERDEN\nGESUCHT	22	RECHERCHE DE\nDISPOSITIFS	25	CERCANDO\nDISPOSITIVI	21	WYSZUKIWANIE\nURZĄDZEŃ	22	BUSCANDO\nDISPOSITIVOS	22	Поиск новых\nустройств	22	DÜZENE\nKARANIYOR	17	正在找寻设备	6
ls_loading_message		Remember that, to connect with Scena, must be connected to the same network	75	Recuerde que para poder\nsincronizarse con Scena, debe\nestar conectado a la misma red	86	تذكر أنه كي تتواصل بسينا عليك أن تكون متصلاً بشبكة سينا نفسها	61	Recordi que per poder\nsincronitzar amb Scena, cal\nque estigui connectat a la mateixa xarxa.	93	Erinnern Sie sich daran, dass Sie\nfür die Synchronisierung mit Scena mit dem gleichen Netz\nverbunden sein müssen	114	Rappelez-vous que pour\n pouvoir synchroniser avec Scena, vous\ndevez être connecté au même réseau.	99	Si ricordi che per \nsincronizzare con Scena, deve\nessere connesso alla stessa rete.	85	Pamiętaj, aby zsynchronizować\nScenę, musisz być podłączony do tej samej sieci.	79	Lembre que para poder\n sincronizar com o Scena, deve\nestar conectado à mesma rede.	84	Помните, для синхронизации с Scena,\nвы должны быть подключены к той же сети	76	Hatırlatırız ki, Scena ile\nsenkronize olabilmek için aynı\nşebekeye bağlı olmanız gerekir	90	请记住为了能够与Scena同步，您应连接至同一个网络	26
																									
Manual Connection																									
ls_manual_connection		MANUAL CONNECTION	17	CONEXIÓN MANUAL	15	اتصال يدوي	10	Conexió manual	14	Manuelle Verbindung	19	Conexion manuelle	17	Connessione manuale	19	Ręczne połączenie	17	Conexão manual	14	Ручное подключение	18	Manüel bağlantı	15	手动连接	4
ls_manual_connection_ip		IP address	10	Dirección IP	12	عنوان IP	8	Direcció IP	11	IP Adresse	10	adresse IP	10	indirizzo IP	12	adres IP	8	endereço de IP	14	айпи адрес	10	IP adresi	9	IP地址	4
ls_manual_connection_ip_url		IP address or URL	17	Dirección IP o URL	18	عنوان IP أو عنوان URL	21	Adreça IP o URL	15	IP -Adresse oder URL	20	Adresse IP ou URL	17	indirizzo IP o URL	18	Adres IP lub adres URL	22	Endereço IP ou URL	18	IP -адрес или URL	17	IP adresi veya URL	18	IP地址或URL	8
ls_manual_connection_port		Port	4	Puerto	6	ميناء	5	Port	4	Port	4	Port	4	Porta	5	Port	4	Porta	5	порт	4	liman	5	端口	2
ls_manual_connection_exit		EXIT	4	SALIR	5	خروج	4	SORTIR	6	VERLASSEN	9	SORTIR	6	USCIRE	6	WYJŚĆ	5	SAIR	4	ВЫЙТИ	5	ÇIKMA	5	出口	2
ls_manual_connection_connect		Connect	7	Conectar	8	الاتصال	7	Connectar	9	Verbinden	9	Connecter	9	Connettere	10	Połączyć	8	Conectar	8	Подключить	10	Bağlanma	8	接	1
																									
Connections																									
ls_connections_title		Connections		Conexiones		روابط		Connexions		Anschlüsse		Les liaisons		Connessioni		Znajomości		ligações		связи		Bağlantılar		连接	
ls_connections_add		Add	3	Añadir	6	إضافة	5	Afegir	6	Hinzufügen	10	Ajouter	7	Aggiungere	10	Dodać	5	Adicionar	9	добавлять	9	Eklemek	7	添加	2
ls_connections_remove		Delete	6	Eliminar	8	نقل	3	Eliminar	8	Entfernen	9	Supprimer	9	Rimuovere	9	Lista urządzeń	14	Remover	7	удалять	7	Kaldırmak	9	拆除	2
ls_connections_edit		Edit	4	Editar	6	تحرير	5	Editar	6	Bearbeiten	10	Éditer	6	Modifica	8	Edycja	6	Editar	6	редактировать	13	Düzenle	7	编辑	2
ls_connections_device_list		Device list	11	Lista de dispositivos	21	قائمة الجهاز	12	Llista de dispositius	21	Geräteliste	11	Liste des périphériques	23	Lista dei dispositivi	21		0	Lista de dispositivos	21	Список устройств	16	Cihaz Listesi	13	设备列表	4
ls_connection_detail_local		Local	5	Local	5	محلي	4	Local	5	lokal	5	locale	6	Del posto	9	Lokalny	7	Local	5	Местный	7	Yerel	5	本地	2
ls_connection_detail_remote		Remote	6	Remoto	6	عن بعد	6	Remot	5	entfernt	8	Éloigné	7	remoto	6	zdalny	6	remoto	6	дистанционный пульт	19	uzak	4	远程	2
																									
Devices not found																									
ls_devices_not_found_title		SCENA DEVICE\nNOT FOUND	23	DISPOSITIVO SCENA\nNO ENCONTRADO	32	لم يتم العثور على جهاز سينا	27	DISPOSITIU SCENA\nNO TROBAT	27	GERÄT SCENA\nNICHT GEFUNDEN	27	DISPOSITIF SCENA\nPAS TROUVÉ	28	DISPOSITIVO SCENA\nNON TROVATO	30	URZĄDZENIE SCENA NIE ZNALEZIONE	31	DISPOSITIVO SCENA\nNÃO ENCONTRADO	33	Устройство SCENA\nне найдено	28	SCENA DÜZENEĞİ\nBULUNAMADI	26	未找到SCENA设备	10
ls_devices_not_found_repeat_scan		Scan network again	18	Volver a escanear la red	24	ابحث مجددًا في الشبكة	21	Tornar a escanejar xarxa	24	Netz noch einmal scannen	24	Scannez de nouveau le réseau	28	Ritornare a scansionare la rete	31	Poszukaj ponownie w sieci	25	Tornar a escanear rede	22	Сканировать сеть повторно	25	Şebekeyi tekrar tarayınız	25	重新扫描网络	6
ls_devices_not_found_manual_connection		Manual configuration	20	Configuración manual	20	تعديل يدوي	10	Configuració manual	19	Manuelle Konfiguration	22	Configuration manuelle	22	Configurazione manuale	22	Ręczna konfiguracja	19	Configuração	12	Ручная настройка	16	Manüel konfigürasyon	20	手动连接	4
ls_devices_not_found_demo		Demo mode		Demo mode		Demo mode				Demo mode		Demo mode		Demo mode		Demo mode		Demo mode		Demo mode		Demo mode		Demo mode	
																									
Connection error																									
ls_connect_error_title		CONNECTION\nNOT AVAILABLE	25	CONEXIÓN\nNO DISPONIBLE	23	الاتصال غير متاح	16	CONEXIÓ\nNO DISPONIBLE	22	VERBINDUNG\nNCIHT MÖGLICH	25	CONEXION\nNON DISPONIBLE	24	CONNESSIONE \nNON DISPONIBLE	28	POŁĄCZENIE\nNIEDOSTĘPNE	23	CONEXAO\nDISPONIVEL	19	POŁĄCZENIE\nNIEDOSTĘPNE	23	BAĞLANTI YOK	12	无法连接	4
ls_connect_error_message		Connect to a network to synchronize with Scena	46	Conéctese a una red para poder\nsincronizar con Scena	53	تسجيل الدخول للتواصل مع سينا	28	Connecti's a una xarxa per poder\nsincronitzar amb Scena	56	Verbinden Sie sich mit einem\nNetz um Scena zu synchronisieren	62	Connectez-vous á un réseau pour pouvoir\nsicronizar com o Scena	63	Si connetti\na una rete per sincronizzare con Scena	51	zaloguj się w sieci w\n celu synchronizaji ze Sceną	51	Conecte-se a uma rede para poder\nsicronizar com o Scena	56	подключитесь к сети, чтобы\nсинхронизировать с Scena	52	Scena ile senkronize olabilmek\niçin bir şebekeye bağlanın	58	连接网络与Scena同步	12
ls_connect_error_retry		Retry		Retry		Retry				Retry		Retry		Retry		Retry		Retry		Retry		Retry		Retry	
																									
Element detail																									
ls_element_detail_title_temperature		Temperature	11	Temperatura	11	حرارة	5	Temperatura	11	Temperatur	10	Température	11	Temperatura	11	Temperatura	11	Temperatura	11	Температура	11	Sıcaklık	8	温度	2
ls_element_detail_title_saturation		Saturation	10	Saturación	10	تشبع	4	Saturació	9	Sättigung	9	Saturation	10	Saturazione	11	Nasycenie	9	Saturação	9	Насыщение	9	Doygunluk	9	饱和度	3
ls_element_detail_title_hue		Tone	4	Tono	4	نغمة	4	To	2	Ton	3	Ton	3	Tono	4	Ton	3	Tom	3	Тон	3	Ton	3	色调	2
ls_element_detail_title_intensity		Intensity	9	Intensidad	10	كثافة	5	Intensitat	10	Intensität	10	Intensité	9	Intensitá	9	Intensywność	12	Intensidade	11	Интенсивность	13	Yoğunluk	8	强度	2
ls_element_detail_title_locker		Locker	6	Consigna	8	شعار	4	Consigna	8	Parole	6	Consigne	8	Ordine	6	Hasło	5	Consigna	8	Пароль	6	Talimat	7	选点定位	4
ls_element_detail_title_lux		Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3	Lux	3
ls_element_detail_title_speed		Speed	5	Velocidad	9	سرعة	4	Velocitat	9	Geschwindigkeit	15	Vitesse	7	Velocitá	8	Prędkość	8	Velocidade	10	Скорость	8	Hız	3	速度	2
ls_element_detail_error		Error in the actual element	27	Error en el elemento actual 	28	خطأ في العنصر الفعلي	20	Error en l'element actual	25	Fehler im eigentlichen Element	30	Erreur dans l'élément réel	26	Errore nell'elemento effettiva	30	Błąd właściwy element	21	Erro no elemento real	21	Ошибка в фактическом элементе	29	Gerçek eleman hata	18	错误的实际元素	7
																									
Demo elements																									
ls_elem_welcome		Welcome	7	Bienvenida	10	نرحب بكم	8	Benvinguda	10	Willkommem	10	Bienvenue	9	Ben Arrivato	12	Mile Widziany	13	Bem Vindos	10	Милости Просим	14	Hoş Geldin	10	欢迎	2
ls_elem_color_rgb		RGB Color	9	Color RGB	9	RGB اللون	9	Color RGB	9	RGB-Farben-	11	RGB Color	9	Colore RGB	10	Kolor RGB	9	Cor RGB	7	RGB Color	9	RGB Renk	8	RGB颜色	5
ls_elem_meeting_room		Meeting	7	Reunión	7	لقاء	4	Reunió	6	Termin	6	Réunion	7	Incontro	8	Spotkanie	9	Reunião	7	встреча	7	Toplantı	8	投影	2
ls_elem_projection		Projections	11	Proyección	10	إسقاط	5	Projecció	9	Proyektion	10	Projection	10	Proiezione	10	Projekcja	9	Projeção	8	проекция	8	Projeksiyon	11	投影	2
ls_elem_terrace		Terrace	7	Terraza	7	شرفة	4	Terrassa	8	Terrasse	8	Terrasse	8	Terrazza	8	Taras	5	Terraço	7	терраса	7	Teras	5	阳台	2
ls_elem_circadian		Circadian cycle	15	Ciclo circadiano	16	دورة الساعة البيولوجية	22	Cicle circadiá	14	Ziekadianen Zyklus	18	Cycle circadien	15	Ciclo circadiano	16	Cykl dobowy	11	Ciclo circadiano	16	Суточный цикл	13	Sirkadiyen döngüsü	18	昼夜周期	4
ls_elem_general_lighting		General lighting	16	Iluminación general	19	الإضاءة العامة	14	Il-luminació general	20	Aligemeinbeleuchtung	20	L'eclairage général	19	Iluminazione generale	21	Oświetlenie ogólne	18	Iluminação geral	16	Общее освещение	15	Genel aydınlatma	16	通用照明	4
ls_elem_working_hours		Work hour	9	Horario Laboral	15	ساعات الدوام	12	Horari Laboral	14	Arbeitszeit	11	Heures de travail	17	Orari di lavoro	15	Godziny pracy	13	Expediente	10	рабочее время	13	Çalışma saatleri	16	工作时间	4
ls_elem_tendal_terrace		Toldo terrace	13	Toldo terraza	13	شرفة المظلة	11	Tendal terrassa	15	Terrassenüberdachung	20	Terrasse stores	15	Terrazza tenda	14	Taras markizy	13	Toldo do terraço	16	терраса тент	12	Teras tente	11	阳台雨篷	4
ls_elem_reception_light		Reception light	15	Luz de recepción	16	الأمامي ضوء مكتب	16	Llum de recepció	16	Rezeption Licht	15	Réception de lúmiére	20	Luce della reception	20	Recepcja światła	16	Luz de recepção	15	Стойка регистрации света	24	Ön büro ışık	12	前台光	3
																									
Updates date string																									
ls_single_second		1 second ago	12	1 segundo	9	1 ثانية	7	1 segon	7	1 Sekunde	9	1 seconde	9	1 secondo	9	1 sekunda	9	1 segundo	9	1 секунда	9	1 saniye	8	1秒	2
ls_seconds		seconds ago	11	segundos	8	ثانية	5	segons	6	Sekunden	8	secondes	8	secondi	7	sekundy	7	segundos	8	секунд	6	saniye	6	秒	1
ls_single_minute		1 minute ago	12	1 minuto	8	1 دقيقة	7	1 minut	7	1 Minute	8	minute	6	1munto	6	1 minuta	8	1 minuto	8	1 минута	8	1 dakika	8	1分钟	3
ls_minutes		minutes ago	11	minutos	7	دقيقة	5	minuts	6	Minuten	7	minutes	7	minuti	6	minuty	6	minutos	7	минут	5	dakika	6	分钟	2
ls_single_hour		1 hour ago	10	1 hora	6	1 ساعة	6	1 hora	6	1 stunde	8	1 heure	7	1 ora	5	1 godzina	9	1 hora	6	1 час	5	1 saat	6	1小时	3
ls_hours		hours ago	9	horas	5	ساعاتين	7	horas	5	stunden	7	heures	6	ore	3	godziny	7	horas	5	часа	4	saat	4	小时	2
ls_single_day		1 day ago	9	1 día	5	1 يوم	5	1 día	5	1 tag	5	1 jour	6	1 giorno	8	1 dzień	7	1 día	5	1 день	6	1 gün	5	1天	2
ls_days		days ago	8	días	4	يوم	3	días	4	tage	4	journées	8	giorni	6	dni	3	días	4	дней	4	gün	3	天	1
																									
New																									
																									
			0		0		0		0		0		0		0		0		0		0		0		0
			0		0		0		0		0		0		0		0		0		0		0		0
			0		0		0		0		0		0		0		0		0		0		0		0